Text,Media,Label
"Partai Golkar akan merayakan hari ulang tahun ke-60 pada 20 Oktober mendatang. Rangkaian acara perayaan ulang tahun tersebut akan dimulai pada 19 Oktober. ""Adapun rangkaian Hut ke-60 tahun 2024 akan diawali dengan melakukan ziarah Taman Makam Pahlawan Kalibata Jakarta Selatan,"" kata Ketua Penyelenggara HUT ke-60 Partai Golkar, Sari Yuliati, di DPP Partai Golkar, Jakarta Barat, Jumat (18/10/2024). Sari mengatakan Ketua Umum Golkar Bahlil Lahadalia beserta kader Golkar akan berziarah ke TMP Kalibata, pada 19 Oktober, mulai pukul 15.30 WIB. Pada 20 Oktober, akan dilaksanakan tasyakuran serta bakti sosial pada malam harinya dimulai pukul 19.30 WIB. ""Tasyakuran ditandai dengan pemotongan tumpeng oleh ketua umum DPP Partai Golkar Bahlil Lahadalia sebagai bagian dari rasa syukur atas perjalanan kiprah 60 tahun Partai Golkar mengabdi untuk bangsa dan negara,"" sebutnya. Kemudian di tanggal 16 November, Golkar akan menggelar senam bersama. Selain itu, Golkar juga akan melaksanakan lomba menciptakan lagu. ""10 terbaik itu akan kita berikan hadiah yang hadiahnya itu akan diserahkan di DPP Partai Golkar bersamaan dengan senam, acara senam. Lalu pemenang pertama akan kita pilih untuk bisa kita bawakan lagunya di puncak HUT Partai Golkar,"" katanya. Sedangkan puncak acaranya, akan digelar tanggal 12 Desember 2024 di Sentul, Jawa Barat. Puncak acara itu dimulai dengan bimbingan teknis fraksi golkar DPR dan DPRD se-Indonesia. ""Dan terakhir, puncak HUT ke-60 Partai Golkar akan digelar pada tanggal 12 Desember 2024 yang insyaallah akan diselenggarakan di Sentul International Convention Center (SICC),"" sebutnya.",Detik,Politics
"Para ketum partai Koalisi Indonesia Maju (KIM) plus merapat ke kantor Kementerian Pertahanan RI. Lalu apa yang dibahas dalam pertemuan Ketum KIM dengan Menteri Pertahanan sekaligus presiden terpilih Prabowo Subianto itu? Pertemuan itu berlangsung selama kurang lebih dua jam di kantor Kemhan, Jalan Medan Merdeka Barat, Jakarta Pusat. Ketum Partai Golkar Bahlil Lahadalia jadi orang yang ke luar gedung pertama. Bahlil mengungkap isi pertemuan dengan Prabowo. ""Diskusi dengan presiden terpilih kami dari ketum koalisi dalam rangka membahas perkembangan ke depan pasca-pelantikan,"" kata Bahlil kepada wartawan di depan kantor Kemhan (17/10/2024). Saat ditanya awak media terkait pertemuan tersebut turut membahas PDIP untuk bergabung ke kabinet, Bahlil tak menjawab secara rinci. ""Tadi saya nggak ada pembahasan itu ya. Tadi kita bahas itu, kita bahas negara bukan bahas partai,"" ujar dia. Selain itu, Ketum PAN Zulkifli Hasan (Zulhas) mengatakan kedatangannya itu untuk mengucapkan selamat ulang tahun kepada Prabowo yang berulang tahun hari ini. ""Semua mengucapkan selamat ulang tahun kepada Pak Presiden terpilih, panjang umur, sehat selalu, ya sukses. Semoga kita bisa bersatu dan membuat Indonesia menjadi negara maju,"" ucap Zulhas. Lalu, Plh Presiden PKS Ahmad Heryawan atau Aher menyebut pertemuan dengan Prabowo untuk bersilahturahmi dalam rangka membangun konsolidasi untuk perkembangan bangsa. ""Silaturahim biasa ya, nggak ada bahasan khusus, kan ketum-ketum partai koalisi semua kumpul, membangun konsolidasi ke depan berjalan bersama-sama, pokoknya ke depan bersama sama membangun bangsa,"" ujar Aher. Sementara itu, Ketum Partai Demokrat Agus Harimurti Yudhoyono atau AHY mengucapkan selamat ulang tahun kepada Prabowo Subianto. Dalam pertemuan itu juga, AHY mengaku bahas soal kabinet menteri Prabowo yang akan datang. ""Tentunya bersama para Ketua Umum Koalisi Indonesia Maju kembali bersilahturahmi dan saling berbagi cerita termasuk khususnya kita fokus kepada hari-hari ke depan ini menjelang 20 Oktober. Kita tahu bahwa harapan beliau, Pak Prabowo, setelah pelantikan presiden dan pemerintah baru terbentuk, kabinet baru terbentuk, bisa segera bekerja, jadi tidak lama-lama jadi bisa langsung bekerja,"" kata AHY. ""Tentunya membutuhkan kerjasama dan koordinasi atas nama partai pengusung Bapak Prabowo dan juga partai koalisi lebih baik ke depan,"" imbuhnya. Simak Video 'Paloh, Zulhas hingga Cak Imin Bertemu Prabowo di Kemhan': [ ] ",Detik,Politics
"Nama kader atau tokoh PDIP belum ada yang dipanggil oleh presiden terpilih, Prabowo Subianto, untuk mengisi jabatan menteri, wakil menteri, dan kepala badan di kabinet pemerintahan. Ternyata ada perbedaan pandangan di kalangan internal PDIP apakah masuk kabinet Prabowo Subianto-Gibran Rakabuming Raka atau tidak. Kader PDIP tak terlihat saat pemanggilan calon menteri-wakil menteri di kediaman Prabowo, Jalan Kertanegara, Jakarta Selatan, Senin (14/10/2024) dan Selasa (15/10). Ketua DPP PDIP, Puan Maharani, tetap membuka kemungkinan kadernya dipanggil Prabowo menjadi calon menteri. ""Insyaallah semuanya mungkin terjadi,"" kata Puan di gedung MPR/DPR/DPD RI, Senayan, Jakarta, Selasa (15/10). Saat Puan berbicara tentang peluang kader PDIP dipanggil Prabowo ada Ketua Harian Gerindra, Sufmi Dasco Ahmad, jalan bersama. Terkait jawaban Puan itu, Dasco menyebutkan waktu pemanggilan calon-calon menteri oleh Prabowo belum selesai. ""Dan waktu pemanggilan belum selesai,"" ujarnya. Di sisi lain, Wakil Ketua MPR Fraksi PDIP Bambang 'Pacul' Wuryanto menyatakan saat ini ada tiga faksi di partainya ketika menyikapi soal peluang berada di kabinet Prabowo-Gibran. Pendapat dan diskusi dari pandangan berbeda-beda masih dibicarakan. ""Ya gini, kalau saya bicara sama dikau, keputusan itu aku belum dengar (usulan menteri dari PDIP). Tetapi yang berkembang, itu kan, namanya juga pendapat kan berbeda-beda yang berkembang di antara kawan-kawan itu,"" ujar Pacul di kompleks parlemen, Senayan, Jakarta Pusat, Selasa (15/10). Megawati dan Prabowo satu meja saat tasyakuran pernikahan Kaesang dan Erina Gudono di Puro Mangkunegaran. (dok. Laily Rachev) Bambang Pacul menjelaskan tiga faksi atau kluster yang dimaksud adalah ada pihak yang ingin PDIP berada di kabinet, ada juga yang berpandangan untuk tak masuk. Pembicaraan seperti masih bergulir di lingkup internal partai. ""Ada yang ingin segera masuk; ada yang kepengin masuknya nanti saja kita lihat perkembangannya dulu kayak apa; kemudian ada yang mengatakan sudahlah nggak usah masuk. Jadi ada tiga kluster yang sedang berdinamika,"" tambahnya. Bambang Pacul mengatakan tiga kluster itu ada di kalangan internal PDIP. Pihaknya juga merespons terkait kedatangan mantan Seskab, Pramono Anung, ke kediaman Prabowo Subianto di tengah pemanggilan calon menteri-wakil menteri. ""Di kawan-kawan pada diskusi. Kan gitu loh. Loh, kalau dikau tanya kok sampai hari ini belum ada? Yang kemarin kok belum ada kader PDIP yang dipanggil ke Kertanegara? Ya memang belum,"" tutur Pacul. ""Tetapi kan hari ini kan juga masih ada. Kita juga ngerti, mari kita amati bersama. Siapa tahu Bambang Pacul nanti dipanggil. Nah tuh, makanya (soal Pramono hadir ke Kertanegara). Ah udah monggo nanti dilihat. Oh di internal, internal begitu (dinamikanya),"" imbuhnya. Simak Video: Menakar Potensi Gabungnya PDIP di Kabinet Era Prabowo [ ] ",Detik,Politics
,Detik,Politics
"Presiden terpilih Prabowo Subianto sudah memanggil 49 calon menteri kabinetnya di hari pertama. Ada sejumlah nama kejutan yang hadir menghadap Prabowo kemarin. Pemanggilan para calon Menteri itu di kediaman Prabowo, Jalan Kertanegara, Jakarta Selatan, Senin (14/10) siang hingga malam. Para calon menteri ini memiliki beragam latar belakang. Prabowo mengatakan pemanggilan para calon menteri itu untuk konfirmasi. Ia menyebut semua tokoh yang diiundang menyatakan kesediaannya menjadi menteri. ""Mereka sudah menyatakan bersedia membantu saya. Jadi sebetulnya hari ini hanya mengkonfirmasi, saya konfirmasi, saya yakinkan mereka bersedia atau tidak bantu saya di bidang yang saya tawarkan kepada mereka,"" kata Prabowo usai pemanggilan calon menteri hari pertama. ""Alhamdulillah semuanya menyatakan sanggup,"" sambungnya. Prabowo juga memberikan sejumlah arahan kepada calon menteri yang datang. Menurut Prabowo, para menteri di kabinetnya nanti harus mengedepankan semangat kerja secara tim. ""Saya memberi beberapa penekanan, kira-kira ya arah kebijakan kita, secara garis besar saya puas ya dan suasana sangat baik, semuanya mengerti bahwa kita harus bekerja dengan baik, bekerja dengan keras, bekerja sebagai tim dalam suasana dunia penuh ketidakpastian. Kita benar-benar harus bekerja dengan teamwork yang sangat baik,"" ujar Prabowo. Veronica Tan merapat ke kediaman presiden terpilih Prabowo Subianto malam ini. Veronica hadir di tengah pemanggilan calon menteri Prabowo, Senin (14/10/2024). Rifkianto Nugroho Berikut nama-nama calon Menteri yang dipanggil Prabowo hari pertama: 1. Prasetyo Hadi 2. Natalius Pigai 3. Widiyanti Putri Wardhana 4. Yandri Susanto 5. Fadli Zon 6. Nusron Wahid 7. Saifullah Yusuf atau Gus Ipul 8. Maruarar Sirait 9. Teuku Riefky Harsya 10. Agus Harimurti Yudhoyono atau AHY 11. Satryo Soemantri Brodjonegoro 12. Arifatul Choiri Fauzi 13. Yassierli 14. Zulkifli Hasan atau Zulhas 15. Tito Karnavian 16. Bahlil Lahadalia 17. Yusril Ihza Mahendra (Menko Hukum dan HAM) 18. Abdul Mu'ti (Mendikdasmen) 19. Iftitah Sulaiman 20. Sugiono 21. Muhaimin Iskandar 22. Wihaji 23. ⁠Abdul Kadir Karding 24. Agus Andrianto 25. Raja Juli Antoni 26. Agus Gumiwang Kartasasmita 27. Pratikno 28. Maman Abdurrahman (Menteri UMKM) 29. Ribka Haluk 30. Dudy Purwagandhi 31. Sakti Wahyu Trenggono 32. Budi Santoso 33. Rachmat Pambudy 34. Raden Dodi Priyono 35. Hanif Faisol Nurofiq 36. Nasaruddin Umar 37. Amran Sulaiman 38. Sultan B Najamudin 39. Erick Thohir 40. Dito Ariotedjo 41. Budi Gunadi Sadikin 42. Airlangga Hartarto 43. Sri Mulyani (Menkeu) 44. Veronica Tan 45. Supratman Andi Agtas 46. Rosan Roeslani 47. M Herindra 48. Donny Ermawan 49. Meutya Hafid Prabowo menceritakan soal calon menteri yang diajukan oleh ketua umum partai koalisi. Prabowo menyebut banyak ketua umum partai yang mengirimkan orang professional, bukan kader partai. ""Jadi begini, beberapa, saya terus terang saja, saya menyatakan apresiasi para ketua umum, banyak ketua umum yang diajukan orang-orang profesional,"" ujar Prabowo. ""Jadi saya kira itu yang saya sampaikan, jadi mungkin anda tidak perhatikan bahwa yang mengajukan itu adalah partai A, partai B karena yang diajukan justru orang-orang teknokrat,"" katanya. Prabowo tak menutup peluang memanggil sejumlah calon menteri yang berasal dari PDIP maupun PKS. ""Insyaallah, Insyaallah,"" kata Prabowo soal calon menteri dari PDIP dan PKS. Airlangga dan Sri Mulyani merapat ke rumah Prabowo Shafira Cendra Arini/detikcom Ketum partai Gerindra itu mengatakan masih ada beberapa calon menteri yang akan dipanggil olehnya. Sejumlah calon menteri masih berada di luar kota, sehingga berhalangan hadir pada pemanggilan hari pertama. ""Masih, menterinya masih ada beberapa yang sedang di luar kota,"" kata Prabowo. Pemanggilan calon menteri hari kedua yakni pada Selasa (15/10). ""Besok masih ada lagi proses, saya kira mulai sama, jam 14.00,"" ucap Prabowo.",Detik,Politics
"Presiden terpilih Prabowo Subianto memanggil puluhan nama calon menteri untuk kabinetnya lima tahun ke depan. Prabowo menyebut puluhan calon menteri yang dipanggilnya menyatakan sanggup untuk mengemban jabatan. Pemanggilan para calon Menteri itu di kediaman Prabowo, Jalan Kertanegara, Jakarta Selatan, Senin (14/10) siang hingga malam. Para calon menteri ini memiliki beragam latar belakang. Prabowo mengatakan semua tokoh yang diundang ke kediamannya telah menyatakan kesediaannya menjadi menteri. Pemanggilan para calon menteri itu disebut Prabowo untuk konfirmasi. ""Mereka sudah menyatakan bersedia membantu saya. Jadi sebetulnya hari ini hanya mengkonfirmasi, saya konfirmasi, saya yakinkan mereka bersedia atau tidak bantu saya di bidang yang saya tawarkan kepada mereka,"" kata Prabowo usai pemanggilan calon menteri hari pertama. ""Alhamdulillah semuanya menyatakan sanggup,"" sambungnya. Sri Mulyani calon menteri saat merapat ke rumah Prabowo. (Shafira Cendra Arini/detikcom) Prabowo juga memberikan sejumlah arahan kepada calon menteri yang datang. Menurut Prabowo, para menteri di kabinetnya nanti harus mengedepankan semangat kerja secara tim. ""Saya memberi beberapa penekanan, kira-kira ya arah kebijakan kita, secara garis besar saya puas ya dan suasana sangat baik, semuanya mengerti bahwa kita harus bekerja dengan baik, bekerja dengan keras, bekerja sebagai tim dalam suasana dunia penuh ketidakpastian. Kita benar-benar harus bekerja dengan teamwork yang sangat baik,"" ujar Prabowo. Berikut nama-nama calon Menteri yang dipanggil Prabowo hari pertama: 1. Prasetyo Hadi 2. Natalius Pigai 3. Widiyanti Putri Wardhana 4. Yandri Susanto 5. Fadli Zon 6. Nusron Wahid 7. Saifullah Yusuf atau Gus Ipul 8. Maruarar Sirait 9. Teuku Riefky Harsya 10. Agus Harimurti Yudhoyono atau AHY 11. Satryo Soemantri Brodjonegoro 12. Arifatul Choiri Fauzi 13. Yassierli 14. Zulkifli Hasan atau Zulhas 15. Tito Karnavian 16. Bahlil Lahadalia 17. Yusril Ihza Mahendra (Menko Hukum dan HAM) 18. Abdul Mu'ti (Mendikdasmen) 19. Iftitah Sulaiman 20. Sugiono 21. Muhaimin Iskandar 22. Wihaji 23. ⁠Abdul Kadir Karding 24. Agus Andrianto 25. Raja Juli Antoni 26. Agus Gumiwang Kartasasmita 27. Pratikno 28. Maman Abdurrahman (Menteri UMKM) 29. Ribka Haluk 30. Dudy Purwagandhi 31. Sakti Wahyu Trenggono 32. Budi Santoso 33. Rachmat Pambudy 34. Dodi Hanggodo 35. Hanif Faisol Nurofiq 36. Nasaruddin Umar 37. Amran Sulaiman 38. Sultan B Najamudin 39. Erick Thohir 40. Dito Ariotedjo 41. Budi Gunadi Sadikin 42. Airlangga Hartarto 43. Sri Mulyani (Menkeu) 44. Veronica Tan 45. Supratman Andi Agtas 46. Rosan Roeslani 47. M Herindra 48. Donny Ermawan 49. Meutya Hafid Veronica Tan merapat ke kediaman Presiden terpilih Prabowo Subianto. Veronica hadir di tengah pemanggilan calon menteri Prabowo, Senin (14/10/2024). (Rifkianto Nugroho/detikcom) Prabowo menceritakan soal calon menteri yang diajukan oleh ketua umum partai koalisi. Prabowo menyebut banyak ketua umum partai yang mengirimkan orang professional, bukan kader partai. ""Jadi begini, beberapa, saya terus terang saja, saya menyatakan apresiasi para ketua umum, banyak ketua umum yang diajukan orang-orang profesional,"" ujar Prabowo. Sehingga dinilai luput untuk mengidentifikasi nama calon menteri yang hadir di rumah Prabowo. Bisa saja, calon menteri yang dari kalangan profesional diusung oleh salah satu partai. ""Jadi saya kira itu yang saya sampaikan, jadi mungkin anda tidak perhatikan bahwa yang mengajukan itu adalah partai A, partai B karena yang diajukan justru orang-orang teknokrat,"" katanya. Simak Video Prabowo soal Calon Menteri: Alhamdulillah Semua Nyatakan Sanggup [ ]",Detik,Politics
"Penghargaan bergengsi yang diberikan kepada individu, merek, dan lembaga di Indonesia yang telah memberikan kontribusi luar biasa dalam berbagai bidang.",Detik,Politics
"Penghargaan bergengsi yang diberikan kepada individu, merek, dan lembaga di Indonesia yang telah memberikan kontribusi luar biasa dalam berbagai bidang.",Detik,Politics
"Sejumlah tokoh di asal Jawa Timur mulai KH Agoes Ali Masyhuri atau Gus Ali pengasuh Ponpes Bumi Shalawat Sidoarjo, mantan Gubernur Jawa Timur Soekarwo juga hadir dalam kampanye akbar Prabowo-Gibran.",Detik,Politics
Ganjar Pranowo juga sempat memanggil pendukungnya yang mengecat tubuhnya dengan angka 3. Pendukung tersebut diberi topi oleh Ganjar. ( Aprilia Devi/detikJatim),Detik,Politics
